"ATCOCode","NaptanCode","PlateCode","CleardownCode","CommonName","CommonNameLang","ShortCommonName","ShortCommonNameLang","Landmark","LandmarkLang","Street","StreetLang","Crossing","CrossingLang","Indicator","IndicatorLang","Bearing","NptgLocalityCode","LocalityName","ParentLocalityName","GrandParentLocalityName","Town","TownLang","Suburb","SuburbLang","LocalityCentre","GridType","Easting","Northing","Longitude","Latitude","StopType","BusStopType","TimingStatus","DefaultWaitTime","Notes","NotesLang","AdministrativeAreaCode","CreationDateTime","ModificationDateTime","RevisionNumber","Modification","Status"
"1400EB0419","esuagatj",,,"South Downs Way",,,,"Golf Course",,"East Dean Road",,,,"after",,"SW","E0010505","Old Town","Eastbourne",,,,,,0,"U",558486,98552,0.24595937567,50.7649185255,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2014-01-20 10:00:00,2,"rev","act"
"1400EB0420","esuagatm",,,"South Downs Way",,,,"Golf Course",,"East Dean Road",,,,"before",,"NE","E0010505","Old Town","Eastbourne",,,,,,0,"U",558449,98545,0.24543213532,50.7648657229,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2017-01-11 12:57:00,3,"rev","act"
"1400EB75108","esuagjgt",,,"Brodrick Close",,,,"Somerfields",,"Brodrick Road",,,,"adj",,"S","E0010502","Hampden Park","Eastbourne",,,,,,0,"U",560554,102224,0.27686133894,50.7973450943,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2018-03-20 08:55:00,6,"del","del"
"1400EB75138","esuagjpg",,,"Sussex Downs College",,,,"College",,"College Grounds",,,,"o/s",,"NE","E0010502","Hampden Park","Eastbourne",,,,,,0,"U",560325,101353,0.27323480776,50.7895820923,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2010-08-13 12:12:00,2,"rev","act"
"1400HMPDNPK0",,,,"Hampden Park (Sussex) Rail Station",,,,"Station entrance",,"Station Approach",,,,"Main entrance",,,"E0010502","Hampden Park","Eastbourne",,,,,,0,"U",560718,102113,0.27913797166,50.7963022914,"RSE",,,,,,"079",2006-11-03 00:00:00,2011-04-04 15:14:00,5,"rev","act"
"1400EB10045","esudjgmp",,,"Coopers Hill",,,,"Coopers Hill",,"Willingdon Road",,,,"adj",,"NW","E0010509","Willingdon","Eastbourne",,"Eastbourne",,,,0,"U",558665,102823,0.25033760165,50.8032472942,"BCT","MKD","OTH",,,,"079",2010-09-17 15:41:00,2010-09-17 15:41:00,0,"new","act"
"1400EB0071","esuadgma",,,"Chalk Farm Hotel",,,,"Tas Combe Way",,"Coopers Hill",,,,"o/s",,"N","E0010509","Willingdon","Eastbourne",,,,,,0,"U",558652,102496,0.25001209619,50.8003125584,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2018-03-06 12:10:00,3,"rev","act"
"1400EB0001","esuadada",,,"St Leonard's Place",,,,"East Dean Road",,"Longland Road",,,,"adj",,"SE","E0010505","Old Town","Eastbourne",,,,,,0,"U",559344,99254,0.25841951828,50.7709916139,"BCT","MKD","TIP",,,,"079",2005-08-08 00:00:00,2010-08-18 10:49:00,2,"rev","act"
"1400EB0002","esuadadg",,,"St Leonard's Place",,,,"East Dean Road",,"Longland Road",,,,"opp",,"NW","E0010505","Old Town","Eastbourne",,,,,,0,"U",559303,99256,0.25783941148,50.7710208368,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2010-08-18 10:50:00,2,"rev","act"
"1400HMPDNPK1",,,,"Hampden Park (Sussex) Rail Station",,,,"Station entrance",,"Brampton Road",,,,"entrance",,,"E0010502","Hampden Park","Eastbourne",,,,,,0,"U",560804,102134,0.28036642168,50.7964671499,"RSE",,,,,,"079",2006-11-03 00:00:00,2011-04-01 11:53:00,3,"rev","act"
